alpha,step,delta_v
0.1,0,0.3084924000000005
0.1,1,0.3168065280000005
0.1,2,0.3249442621200004
0.1,3,0.3329280684084003
0.1,4,0.34068141543230424
0.1,5,0.3480994515366603
0.1,6,0.35525523614530874
0.1,7,0.36223964262965985
0.1,8,0.36893644008670834
0.1,9,0.37565159420037014
0.1,10,0.38199935769529003
0.1,11,0.3881289877309748
0.1,12,0.3941043804287026
0.1,13,0.399834666344948
0.1,14,0.40540942433985727
0.1,15,0.41074863202146517
0.1,16,0.41600106194697695
0.1,17,0.42112395550696297
0.1,18,0.4259189834266583
0.1,19,0.430795901868658
0.1,20,0.4353809553220803
0.1,21,0.4400154013149946
0.1,22,0.4442638456240631
0.1,23,0.4485124883085361
0.1,24,0.4526995285161038
0.1,25,0.45669304869746924
0.1,26,0.46060294770731763
0.1,27,0.46439939905406824
0.1,28,0.4679615534387759
0.1,29,0.4714477902576475
0.1,30,0.47472178377897195
0.1,31,0.4780525519804965
0.1,32,0.48103155816598886
0.1,33,0.4841070846728134
0.1,34,0.4870745390965235
0.1,35,0.4899370477045202
0.1,36,0.49274569362363996
0.1,37,0.49557966914468443
0.1,38,0.49823740495116164
0.1,39,0.5010090550989594
0.1,40,0.503532041292189
0.1,41,0.5059805672196763
0.1,42,0.5084504423941053
0.1,43,0.5106163228781125
0.1,44,0.5128033302369591
0.1,45,0.5148769748878315
0.1,46,0.51705698007043
0.1,47,0.5189147840292117
0.1,48,0.5209905652208441
0.1,49,0.5228154905234852
0.1,50,0.5248855621897297
0.1,51,0.5266885321830527
0.1,52,0.528478405499846
0.1,53,0.5302804693589718
0.1,54,0.5318263566731212
0.1,55,0.5334120184983984
0.1,56,0.5349244694700197
0.1,57,0.536202654637883
0.1,58,0.5376721399110945
0.1,59,0.5392209570155668
0.1,60,0.5404304580107538
0.1,61,0.5419175966747612
0.1,62,0.5434257693305732
0.1,63,0.54460372670008
0.1,64,0.5457652724875157
0.1,65,0.5468841325556437
0.1,66,0.5478989873800234
0.1,67,0.5488900514091875
0.1,68,0.5500160068109871
0.1,69,0.5510529226732094
0.1,70,0.5522592893058887
0.1,71,0.5533595337341047
0.1,72,0.5544200237701066
0.1,73,0.5552359246291791
0.1,74,0.5561024404296657
0.1,75,0.5571469471711495
0.1,76,0.5579891014439297
0.1,77,0.5589206258661795
0.1,78,0.5596526586343549
0.1,79,0.5603005387983432
0.1,80,0.5612266091109109
0.1,81,0.5622019230740005
0.1,82,0.5629768516022794
0.1,83,0.5637778726619505
0.1,84,0.5644520431203316
0.1,85,0.5649237433119325
0.1,86,0.5653781605005241
0.1,87,0.5657248950167237
0.1,88,0.5660959316683528
0.1,89,0.5666950744420395
0.1,90,0.5672903387686026
0.1,91,0.5679118298947442
0.1,92,0.5681765224273647
0.1,93,0.5685879752273479
0.1,94,0.5689617495909771
0.1,95,0.5694987870249839
0.1,96,0.5700189012210072
0.1,97,0.5704441157575502
0.1,98,0.5708664429798374
0.1,99,0.5712651204201048
0.1,100,0.571619534682036
0.1,101,0.5719267037119483
0.1,102,0.5722029561537731
0.1,103,0.5726670482829036
0.1,104,0.5730938246317886
0.1,105,0.5733800669247529
0.1,106,0.5737903108078352
0.1,107,0.5740615303504368
0.1,108,0.5744793534392024
0.1,109,0.574830106769651
0.1,110,0.575125202654349
0.1,111,0.5755737800042604
0.1,112,0.5759193983871286
0.1,113,0.5763720700221813
0.1,114,0.5766279281533814
0.1,115,0.5768007286216705
0.1,116,0.5770431300847221
0.1,117,0.577210808851688
0.1,118,0.5776296828318606
0.1,119,0.5777317447858459
0.1,120,0.5778541686682788
0.1,121,0.5780110975323383
0.1,122,0.5783011549814848
0.1,123,0.5785632082060259
0.1,124,0.5788944974124426
