step,delta_v,gamma,scenario
1,-2.7755575615628914e-17,0.0,theta_intervention
2,0.005775000000000002,0.0,theta_intervention
3,0.04278750000000009,0.0,theta_intervention
4,0.0612660000000001,0.0,theta_intervention
5,0.09318360000000003,0.0,theta_intervention
6,0.1150058175,0.0,theta_intervention
7,0.14403493275000012,0.0,theta_intervention
8,0.16052118322500009,0.0,theta_intervention
9,0.16754845505250004,0.0,theta_intervention
10,0.17223625507575013,0.0,theta_intervention
11,0.18550401375390008,0.0,theta_intervention
12,0.18999216348345,0.0,theta_intervention
13,0.2029264309113541,0.0,theta_intervention
14,0.20835411330767128,0.0,theta_intervention
15,0.2220007904123915,0.0,theta_intervention
16,0.22379174868611834,0.0,theta_intervention
17,0.22837600580823636,0.0,theta_intervention
18,0.2318597873079909,0.0,theta_intervention
19,0.2329247912769945,0.0,theta_intervention
20,0.23491390046238103,0.0,theta_intervention
21,0.2412193206379682,0.0,theta_intervention
22,0.24236025748569584,0.0,theta_intervention
23,0.24287896476454363,0.0,theta_intervention
24,0.24449371929492641,0.0,theta_intervention
25,0.24425575987107928,0.0,theta_intervention
26,0.2479099953159073,0.0,theta_intervention
27,0.25084716701235804,0.0,theta_intervention
28,0.24954324324473887,0.0,theta_intervention
29,0.2533417147134707,0.0,theta_intervention
30,0.2536023886245978,0.0,theta_intervention
31,0.2525083854514932,0.0,theta_intervention
32,0.2528568939292993,0.0,theta_intervention
33,0.2552725570790073,0.0,theta_intervention
34,0.2577253443094709,0.0,theta_intervention
35,0.26002827104543524,0.0,theta_intervention
36,0.26060234443850366,0.0,theta_intervention
37,0.2616510392443109,0.0,theta_intervention
38,0.26027719407777405,0.0,theta_intervention
39,0.26033385961238253,0.0,theta_intervention
40,0.26089686057861927,0.0,theta_intervention
41,0.2605090307582178,0.0,theta_intervention
42,0.2594768515762875,0.0,theta_intervention
43,0.25925701311558935,0.0,theta_intervention
44,0.25840281151798317,0.0,theta_intervention
45,0.2576522824269569,0.0,theta_intervention
46,0.25737181435209355,0.0,theta_intervention
47,0.25700433570907905,0.0,theta_intervention
48,0.2565448133015959,0.0,theta_intervention
49,0.2562058844724385,0.0,theta_intervention
50,0.25569439796606747,0.0,theta_intervention
51,0.25512832721824,0.0,theta_intervention
52,0.25471446504665196,0.0,theta_intervention
53,0.25417935017338217,0.0,theta_intervention
54,0.2539312220503176,0.0,theta_intervention
55,0.2537601872250955,0.0,theta_intervention
56,0.25348794622631293,0.0,theta_intervention
57,0.25316048780126515,0.0,theta_intervention
58,0.25294523712462913,0.0,theta_intervention
59,0.2528299771465995,0.0,theta_intervention
60,0.25255052938494715,0.0,theta_intervention
61,0.25240980171229915,0.0,theta_intervention
62,0.25221586061431434,0.0,theta_intervention
63,0.25206086574607095,0.0,theta_intervention
64,0.25190235694091323,0.0,theta_intervention
65,0.2517948661409765,0.0,theta_intervention
66,0.25164566021065493,0.0,theta_intervention
67,0.2515013252815692,0.0,theta_intervention
68,0.2513425152714659,0.0,theta_intervention
69,0.2512409693901866,0.0,theta_intervention
70,0.2511438869432962,0.0,theta_intervention
71,0.25111497983699865,0.0,theta_intervention
72,0.25101739737090534,0.0,theta_intervention
73,0.250903056927337,0.0,theta_intervention
74,0.25083216667595476,0.0,theta_intervention
75,0.2507914371098642,0.0,theta_intervention
76,0.25065846603013997,0.0,theta_intervention
77,0.2505245344553369,0.0,theta_intervention
78,0.2504399140799273,0.0,theta_intervention
79,0.2503548333347189,0.0,theta_intervention
80,0.25028365347114434,0.0,theta_intervention
81,0.25023009568685645,0.0,theta_intervention
82,0.2501792112440944,0.0,theta_intervention
83,0.2501381232832667,0.0,theta_intervention
84,0.2501124385692791,0.0,theta_intervention
85,0.25009247144961155,0.0,theta_intervention
86,0.2500760481826527,0.0,theta_intervention
87,0.2500610979996435,0.0,theta_intervention
88,0.2500496254178937,0.0,theta_intervention
89,0.25003878128904833,0.0,theta_intervention
90,0.250030689053675,0.0,theta_intervention
91,0.2500247555881114,0.0,theta_intervention
92,0.2500197210729108,0.0,theta_intervention
93,0.2500162450966699,0.0,theta_intervention
94,0.2500127003092205,0.0,theta_intervention
95,0.2500099604754918,0.0,theta_intervention
96,0.2500078255921236,0.0,theta_intervention
97,0.2500063018542183,0.0,theta_intervention
98,0.25000497798579047,0.0,theta_intervention
99,0.2500040437501799,0.0,theta_intervention
100,0.2500032790167908,0.0,theta_intervention
101,0.2500026069388494,0.0,theta_intervention
102,0.25000212094339463,0.0,theta_intervention
103,0.2500016675552622,0.0,theta_intervention
104,0.2500012970865783,0.0,theta_intervention
105,0.2500010500081758,0.0,theta_intervention
106,0.25000080472101643,0.0,theta_intervention
107,0.2500006561075429,0.0,theta_intervention
108,0.2500005124333348,0.0,theta_intervention
109,0.25000040555785474,0.0,theta_intervention
110,0.250000330934631,0.0,theta_intervention
111,0.25000027527436086,0.0,theta_intervention
112,0.25000021692948,0.0,theta_intervention
113,0.25000017426907145,0.0,theta_intervention
114,0.2500001367786832,0.0,theta_intervention
115,0.2500001078360527,0.0,theta_intervention
116,0.25000008451974304,0.0,theta_intervention
117,0.25000006542702874,0.0,theta_intervention
118,0.2500000530853764,0.0,theta_intervention
119,0.2500000437157394,0.0,theta_intervention
120,0.2500000358170501,0.0,theta_intervention
121,0.2500000283126569,0.0,theta_intervention
122,0.25000002359450324,0.0,theta_intervention
123,0.2500000186756322,0.0,theta_intervention
124,0.2500000156553681,0.0,theta_intervention
125,0.25000001182886716,0.0,theta_intervention
126,0.25000000967337654,0.0,theta_intervention
127,0.2500000077823084,0.0,theta_intervention
128,0.250000005998019,0.0,theta_intervention
129,0.2500000051390129,0.0,theta_intervention
130,0.25000000408680895,0.0,theta_intervention
131,0.2500000033408852,0.0,theta_intervention
132,0.25000000259689514,0.0,theta_intervention
133,0.25000000213387397,0.0,theta_intervention
134,0.2500000017744014,0.0,theta_intervention
135,0.2500000013072218,0.0,theta_intervention
136,0.2500000010469518,0.0,theta_intervention
137,0.2500000008106245,0.0,theta_intervention
