theta,epsilon,delta_v,Value_High,Value_Low,LH_Ratio
0.0,0.0,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.05,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.1,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.15000000000000002,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.2,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.25,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.30000000000000004,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.35000000000000003,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.4,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.45,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.5,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.55,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.6000000000000001,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.65,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.7000000000000001,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.75,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.8,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.8500000000000001,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.9,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,0.9500000000000001,0.24999999999999994,0.7499999999999999,0.5,100.0
0.0,1.0,0.24999999999999994,0.7499999999999999,0.5,100.0
0.05,0.0,0.2963377858526213,0.7499999999999999,0.4536622141473786,10.590259818655715
0.05,0.05,0.07838974507168053,0.5472426507463256,0.468852905674645,19.91212950259235
0.05,0.1,-0.03777729771961034,0.43824083407640335,0.47601813179601365,25.05493125501949
0.05,0.15000000000000002,-0.08988582422329398,0.38985578578380736,0.47974161000710136,27.135644896769897
0.05,0.2,-0.11155786903452762,0.3686120041491767,0.48016987318370435,28.22454478854479
0.05,0.25,-0.11989779656564559,0.35953516110774186,0.47943295767338745,28.79346025027604
0.05,0.30000000000000004,-0.11319645710746858,0.3642960876952808,0.4774925448027494,28.741201076701078
0.05,0.35000000000000003,-0.11434162232385461,0.3639028676949617,0.4782444900188163,28.478859210234212
0.05,0.4,-0.10519738583384712,0.3721261627173891,0.47732354855123627,27.5738407980908
0.05,0.45,-0.09408291754790811,0.38283375719278434,0.47691667474069244,26.49657867132867
0.05,0.5,-0.08587792968289526,0.39063629348970746,0.47651422317260267,25.349800865800866
0.05,0.55,-0.07922483687223407,0.3978827473942674,0.47710758426650146,24.590093434343434
0.05,0.6000000000000001,-0.06949471809613311,0.40707368186681414,0.47656839996294725,24.025910894660893
0.05,0.65,-0.059766505594726814,0.4149197290473525,0.4746862346420794,23.17200072150072
0.05,0.7000000000000001,-0.05602851451462232,0.41816769155995537,0.47419620607457774,22.782752886002886
0.05,0.75,-0.052152905231415504,0.42176871475892364,0.47392161999033916,22.64984090909091
0.05,0.8,-0.044962789483404805,0.4289185395482513,0.47388132903165614,22.326838744588745
0.05,0.8500000000000001,-0.041859226890238785,0.43236047819497186,0.4742197050852107,22.20360245310245
0.05,0.9,-0.04034834105508246,0.43316752845994416,0.47351586951502667,22.134372655122654
0.05,0.9500000000000001,-0.039221673320684505,0.4349332113566426,0.4741548846773271,22.047884559884558
0.05,1.0,-0.036993847987362403,0.43764246672961526,0.47463631471697765,21.999132756132756
0.1,0.0,0.34167941774451105,0.7499999999999999,0.40832058225548884,4.526637792078501
0.1,0.05,0.01776863155014775,0.466205129704787,0.44843649815463926,10.597948256213538
0.1,0.1,-0.09493220334670771,0.3664543824511413,0.46138658579784897,12.790961423944582
0.1,0.15000000000000002,-0.11753249120292746,0.34526739663758643,0.46279988784051396,13.155101621981839
0.1,0.2,-0.11078877857405675,0.350158964913547,0.46094774348760376,12.649049389491172
0.1,0.25,-0.10891823328787831,0.3515932357738306,0.4605114690617089,12.388019930158459
0.1,0.30000000000000004,-0.10135001932503503,0.3579858923861635,0.45933591171119853,11.676005735976307
0.1,0.35000000000000003,-0.08128400515620292,0.3749644356792248,0.4562484408354277,11.179170335039917
0.1,0.4,-0.07393611940301777,0.3813106574301262,0.45524677683314396,10.648104435983694
0.1,0.45,-0.06283345505637412,0.39043325873699486,0.4532667137933689,10.357607218847544
0.1,0.5,-0.0596754463955632,0.39374553943639323,0.45342098583195634,10.04835549784155
0.1,0.55,-0.0537704548323509,0.39917650891338197,0.45294696374573284,9.962536247292439
0.1,0.6000000000000001,-0.04578143351977425,0.40633927981253126,0.4521207133323055,9.750085501658646
0.1,0.65,-0.04086161322372826,0.4115583294689695,0.4524199426926977,9.593360123278854
0.1,0.7000000000000001,-0.04007215585730117,0.41327723896602153,0.4533493948233227,9.484672274105325
0.1,0.75,-0.03580406128717404,0.4166280300736528,0.45243209136082685,9.43652389685478
0.1,0.8,-0.03271057331118875,0.4186410511656148,0.4513516244768036,9.393696510747596
0.1,0.8500000000000001,-0.03552182752757445,0.4167997542247671,0.45232158175234155,9.363629135312573
0.1,0.9,-0.03194102674453838,0.41986024561303753,0.4518012723575759,9.322996737739384
0.1,0.9500000000000001,-0.02819594711969976,0.4226025974016513,0.45079854452135104,9.315179424333838
0.1,1.0,-0.024181361922099322,0.4255796385496698,0.4497610004717692,9.284127441186266
0.15000000000000002,0.0,0.377715190923151,0.7499999999999999,0.3722848090768489,2.7061209263237127
0.15000000000000002,0.05,0.03848372084753263,0.46472492180317493,0.42624120095564233,6.317996874823672
0.15000000000000002,0.1,-0.05871728300168805,0.3811968673844285,0.43991415038611653,7.420156565017391
0.15000000000000002,0.15000000000000002,-0.07954612836226863,0.362969279153337,0.44251540751560564,7.550793578800142
0.15000000000000002,0.2,-0.06485509943390293,0.37549946026218234,0.4403545596960853,7.309488365167323
0.15000000000000002,0.25,-0.06909964754747286,0.37179478938161786,0.4408944369290907,6.9441578358830185
0.15000000000000002,0.30000000000000004,-0.053003475393848164,0.3866453846367661,0.4396488600306143,6.716783220157846
0.15000000000000002,0.35000000000000003,-0.049262142162912734,0.39005389406592006,0.4393160362288328,6.471247298979288
0.15000000000000002,0.4,-0.04236192884687555,0.39583683346339965,0.4381987623102752,6.322434893516733
0.15000000000000002,0.45,-0.033771490319264394,0.40280061935281664,0.43657210967208104,6.18751190191818
0.15000000000000002,0.5,-0.02782685157190934,0.40913206689185405,0.43695891846376334,6.104899368237762
0.15000000000000002,0.55,-0.026814677985733205,0.40894486749188597,0.4357595454776192,6.0589876889150345
0.15000000000000002,0.6000000000000001,-0.03035193432830701,0.4062224214594563,0.4365743557877634,6.050789627082605
0.15000000000000002,0.65,-0.02782554692856871,0.4087063366294994,0.43653188355806805,6.005827013388715
0.15000000000000002,0.7000000000000001,-0.025349422257496,0.411151150757928,0.436500573015424,5.9631288489127865
0.15000000000000002,0.75,-0.02146330828082701,0.4143274804860102,0.4357907887668372,5.924674278606856
0.15000000000000002,0.8,-0.024846254340764047,0.41252509357280404,0.4373713479135681,5.903172959492535
0.15000000000000002,0.8500000000000001,-0.020721875202140555,0.4147376580215327,0.4354595332236732,5.889042849910817
0.15000000000000002,0.9,-0.015405453751409757,0.41783564321337324,0.43324109696478297,5.8824142920856985
0.15000000000000002,0.9500000000000001,-0.011070701369769542,0.42083019273057626,0.4319008941003458,5.857824830839133
0.15000000000000002,1.0,-0.004023369497892412,0.42666531660393714,0.43068868610182953,5.847823738074865
0.2,0.0,0.4157887259102913,0.7499999999999999,0.33421127408970863,1.8310937812431702
