theta,epsilon,delta_v,Value_High,Value_Low
0.25,0.1,0.08658169998891747,0.5807403638275478,0.49415866383863033
0.25,0.1,0.1582160233943538,0.6259538021016549,0.467737778707301
0.25,0.1,0.22907290422179333,0.6587594883394382,0.429686584117645
0.25,0.1,0.15054731477286626,0.5831152636465774,0.4325679488737112
0.25,0.1,0.17231626805745542,0.6535211002092096,0.48120483215175414
0.25,0.1,0.1406981643798365,0.6019088846525543,0.4612107202727178
0.25,0.1,0.163048180641212,0.6205563919722493,0.45750821133103725
0.25,0.1,0.21946431937918404,0.6803252624945929,0.4608609431154088
0.25,0.1,0.2037153467277015,0.6617709831488859,0.4580556364211844
0.25,0.1,0.2189913341020725,0.6655331265434967,0.446541792441424
0.25,0.2,0.057892304592096926,0.5544992132675546,0.49660690867545765
0.25,0.2,0.10745264428958469,0.5826164373766695,0.4751637930870848
0.25,0.2,0.17518337265741163,0.650096992709135,0.47491362005172333
0.25,0.2,0.10943202403538914,0.5919966539399381,0.482564629904549
0.25,0.2,0.12016379397488455,0.5824890945336512,0.46232530055876675
0.25,0.2,0.0773134959418443,0.5749001525054822,0.4975866565636379
0.25,0.2,0.06317263330555309,0.5725204992993828,0.5093478659938298
0.25,0.2,-0.001200624171364284,0.49615363189055683,0.49735425606192096
0.25,0.2,0.16731909327361255,0.6049799414651154,0.4376608481915029
0.25,0.2,0.06090876991276115,0.5638095929417762,0.5029008230290151
0.25,0.3,-0.019283493523263844,0.48195775134011287,0.5012412448633767
0.25,0.3,-0.01061213127468046,0.47939467427691584,0.49000680555159626
0.25,0.3,0.006149374341237432,0.5104576571023938,0.5043082827611564
0.25,0.3,-0.014092802738827168,0.4838979251023293,0.4979907278411565
0.25,0.3,0.11317082834429136,0.5564114590592473,0.4432406307149559
0.25,0.3,0.0035758507421813314,0.5235590632140255,0.5199832124718441
0.25,0.3,0.06986990803264352,0.5400684977706037,0.4701985897379602
0.25,0.3,0.018919846585591395,0.5152091059860056,0.49628925940041424
0.25,0.3,0.021570771547723026,0.5266925144785135,0.5051217429307906
0.25,0.3,0.035758987608417406,0.5196920149910068,0.4839330273825895
0.25,0.4,0.04658336867736879,0.5230444332230233,0.47646106454565446
0.25,0.4,-0.04217211354968741,0.4612106816133369,0.5033827951630243
0.25,0.4,0.00672945406864307,0.49594886001087785,0.4892194059422348
0.25,0.4,0.06839377649678037,0.5593281292316812,0.4909343527349008
0.25,0.4,-0.02388875216288627,0.4937070748283345,0.5175958269912208
0.25,0.4,0.01253855938667125,0.5151178229120884,0.5025792635254173
0.25,0.4,-0.05240188063875359,0.4453507746685286,0.4977526553072822
0.25,0.4,-0.02846412595877271,0.4642284772809535,0.49269260323972625
0.25,0.4,0.007928527301106802,0.5195621172859757,0.5116335899848687
0.25,0.4,0.008016103605818179,0.4944108656410362,0.486394762035218
0.25,0.5,0.0027303037789505246,0.5105698050294106,0.5078395012504601
0.25,0.5,0.06162764360689427,0.5315926871095588,0.4699650435026645
0.25,0.5,0.0005562599180635675,0.4909916225806816,0.4904353626626181
0.25,0.5,0.018023366051527132,0.5304374489377632,0.5124140828862361
0.25,0.5,0.017005050692417957,0.5140258759263046,0.4970208252338867
0.25,0.5,0.06944820037348491,0.5624996476100295,0.4930514472365445
0.25,0.5,0.05606370279385313,0.5397275974764587,0.4836638946826056
0.25,0.5,-0.024411442771966427,0.4821128654300868,0.5065243082020533
0.25,0.5,-0.01043883237562453,0.5218753594546556,0.5323141918302802
0.25,0.5,-0.14069372499211374,0.388782410362911,0.5294761353550246
0.25,0.6,-0.005630454765898733,0.48352507017215346,0.4891555249380523
0.25,0.6,0.021804478164265416,0.5098056063287582,0.48800112816449287
0.25,0.6,-0.001644080260256382,0.49347582108395144,0.49511990134420786
0.25,0.6,0.026784831394645107,0.5327203678715655,0.5059355364769204
0.25,0.6,-0.049423711298595824,0.4602087160671353,0.5096324273657312
0.25,0.6,0.00225957117328767,0.4911241639136166,0.4888645927403289
0.25,0.6,-0.031209685997329418,0.47909499667041894,0.5103046826677484
0.25,0.6,-0.04289368226885402,0.45899104114454226,0.5018847234133963
0.25,0.6,-0.02690900055754927,0.4676855327116018,0.49459453326915104
0.25,0.6,-0.09921663020238337,0.4215372802490515,0.5207539104514347
0.25,0.7,-0.07246332529182364,0.44085834635573656,0.51332167164756
0.25,0.7,-0.05148651744799333,0.45403525034202785,0.5055217677900212
0.25,0.7,0.03443097892040011,0.5449860172729664,0.5105550383525662
0.25,0.7,-0.04851585970975586,0.43690069494475503,0.48541655465451083
0.25,0.7,-0.03172716386378349,0.48428820745597695,0.5160153713197606
0.25,0.7,-0.08279774787335153,0.4441134160324333,0.5269111639057849
0.25,0.7,-0.072210466085728,0.45156391798817325,0.5237743840739012
0.25,0.7,0.03284938933168431,0.5086853010281304,0.475835911696446
0.25,0.7,0.05209473433138676,0.5626659214443744,0.5105711871129877
0.25,0.7,0.022768889832604552,0.519570582605951,0.4968016927733465
0.25,0.8,0.03267848270767606,0.5120569517976733,0.47937846908999715
0.25,0.8,0.02162309524594072,0.49694147253503135,0.47531837728909065
0.25,0.8,-0.05123258078565029,0.47498056915480513,0.5262131499404554
0.25,0.8,0.0009972645756302812,0.49561958588334043,0.4946223213077101
0.25,0.8,-0.13963367149870665,0.3883389890294337,0.5279726605281403
0.25,0.8,-0.03785778529577074,0.46693575930620645,0.5047935446019772
0.25,0.8,-0.12117641923706585,0.4259995507058828,0.5471759699429487
0.25,0.8,0.05477280087786003,0.5396288497104396,0.4848560488325797
0.25,0.8,-0.034525647999313444,0.4574891838430924,0.49201483184240596
0.25,0.8,-0.04097381083495302,0.46004476313409676,0.5010185739690499
0.25,0.9,-0.07399194169168283,0.44210891911082123,0.5161008608025041
0.25,0.9,-0.016091509990640806,0.46943420580342554,0.4855257157940662
0.25,0.9,-0.045274961850569444,0.43153933639583036,0.47681429824639976
0.25,0.9,-0.03943747586000388,0.4815482479845747,0.5209857238445788
0.25,0.9,-0.13218405596466762,0.41871806813658485,0.5509021241012526
0.25,0.9,0.03143790060620875,0.5148615572418666,0.48342365663565784
0.25,0.9,0.03337798571211123,0.5154684283691331,0.48209044265702183
0.25,0.9,-0.017678791215156187,0.5044390929798565,0.5221178841950127
0.25,0.9,-0.02296292128558286,0.4920803709282414,0.5150432922138243
0.25,0.9,-0.02274710927424203,0.48556496632178375,0.5083120755960258
0.25,1.0,-0.08435399756189424,0.4487223749117139,0.5330763724736082
0.25,1.0,-0.06195540647415915,0.45099289923263874,0.512948305706798
0.25,1.0,-0.05510154910922926,0.45227386769999384,0.5073754168092232
0.25,1.0,-0.06175251663819068,0.4640640525500167,0.5258165691882074
0.25,1.0,0.03311943475524177,0.5140133947167307,0.48089395996148904
0.25,1.0,0.011247562691121336,0.5085399604394711,0.4972923977483499
0.25,1.0,-0.027115041220205947,0.46472423821065334,0.49183927943085926
0.25,1.0,-0.05615368354885733,0.4535557566360767,0.509709440184934
0.25,1.0,-0.04687851290329727,0.44475379817558414,0.4916323110788814
0.25,1.0,-0.00040505998408357227,0.5038288900414717,0.5042339500255554
0.5,0.1,0.28379229371507636,0.6811400315993441,0.3973477378842678
0.5,0.1,0.2990034934975435,0.667840225118238,0.36883673162069464
0.5,0.1,0.3098111333459656,0.6783860180883419,0.36857488474237576
0.5,0.1,0.4122070331106744,0.7495151142259853,0.33730808111531074
0.5,0.1,0.3191952866398842,0.7176998684610073,0.398504581821123
0.5,0.1,0.20289962696456162,0.6090964362114207,0.406196809246859
0.5,0.1,0.33536606822892495,0.6934815885568603,0.358115520327935
0.5,0.1,0.34602334355722614,0.7159751999348904,0.3699518563776646
0.5,0.1,0.36894389151392304,0.7460800932053233,0.3771362016914002
0.5,0.1,0.3495472105326204,0.7586671484697725,0.40911993793715207
0.5,0.2,0.28128839279291873,0.6861425788971875,0.4048541861042688
0.5,0.2,0.08226355183267996,0.5392063203884455,0.45694276855576554
0.5,0.2,0.2568005252047322,0.6618202254642773,0.40501970025954503
0.5,0.2,0.23511293128447186,0.6545169441519237,0.41940401286745205
0.5,0.2,0.16939554447807686,0.5922419172253619,0.4228463727472848
0.5,0.2,0.20363961691856214,0.6276892081282182,0.4240495912096561
0.5,0.2,0.24589917023595134,0.658434223613445,0.4125350533774937
0.5,0.2,0.14018557225415249,0.614199659920492,0.4740140876663395
0.5,0.2,0.19229195068889327,0.6183043206898909,0.4260123700009977
0.5,0.2,0.19431687324737063,0.6405757418730634,0.4462588686256928
0.5,0.3,0.12376626538233061,0.5709929450473199,0.44722667966498925
0.5,0.3,0.10106753420990194,0.5556567409443093,0.45458920673440745
0.5,0.3,0.21461583011451094,0.6321853373081037,0.41756950719359276
0.5,0.3,0.12409028760986443,0.5862530137725508,0.4621627261626864
0.5,0.3,0.12162677121219957,0.5989926137300711,0.47736584251787145
0.5,0.3,0.147548271138255,0.567452637055138,0.4199043659168831
0.5,0.3,0.17951234872598665,0.6054313210533683,0.42591897232738174
0.5,0.3,0.18940857244034037,0.6069528373275154,0.41754426488717483
0.5,0.3,0.16871612112870923,0.5752076696231903,0.40649154849448105
0.5,0.3,0.20569654007998772,0.6035659765150356,0.3978694364350479
0.5,0.4,0.020447079658369192,0.48681520127879385,0.4663681216204248
0.5,0.4,0.15882799961714217,0.5863684765057924,0.4275404768886501
0.5,0.4,0.08747861351271446,0.53872310411767,0.45124449060495553
0.5,0.4,0.11471042344596377,0.5551127492042716,0.44040232575830784
0.5,0.4,0.07585868044592503,0.5183950407173858,0.44253636027146087
0.5,0.4,0.08557065442456907,0.5311877245304966,0.44561707010592744
0.5,0.4,0.20319384562684648,0.6198655000016747,0.4166716543748282
0.5,0.4,0.25278336950994446,0.6702011703504434,0.41741780084049884
0.5,0.4,0.13941194168792984,0.5924213027145133,0.45300936102658357
0.5,0.4,0.08700721667100261,0.542724313816431,0.45571709714542846
0.5,0.5,0.004162321312326384,0.4878773404356513,0.48371501912332493
0.5,0.5,0.1058698474336184,0.5600412696953354,0.4541714222617169
0.5,0.5,0.06008677867646133,0.503496389577677,0.4434096109012156
0.5,0.5,0.09184644124661709,0.5374421420901444,0.44559570084352723
0.5,0.5,0.1839713505041677,0.6007761288616722,0.41680477835750446
0.5,0.5,0.030275644283859503,0.5014914509028113,0.4712158066189518
0.5,0.5,0.18095883555705006,0.6283312733992286,0.4473724378421785
0.5,0.5,0.14398980334837577,0.5920782112204723,0.44808840787209653
0.5,0.5,0.10375020957053477,0.5466358771420904,0.4428856675715556
0.5,0.5,0.033744141116796314,0.5049440779198158,0.47119993680301947
0.5,0.6,0.09634098599364103,0.5336656743360809,0.43732468834244004
0.5,0.6,0.08599137036068305,0.5503767419782182,0.4643853716175353
0.5,0.6,0.07908269208894207,0.5101834090878333,0.4311007169988914
0.5,0.6,0.06549554786688626,0.5064251668997406,0.4409296190328545
0.5,0.6,-0.02273549601626768,0.4546518716756637,0.4773873676919314
0.5,0.6,0.049863048015758166,0.4998930792750634,0.4500300312593052
0.5,0.6,0.07028383570833567,0.5353388461689472,0.46505501046061143
0.5,0.6,0.07069674292462141,0.5389744646198021,0.4682777216951807
0.5,0.6,0.018044366451564264,0.4855652962249061,0.4675209297733417
0.5,0.6,0.010557582814559928,0.4941114992612225,0.4835539164466626
0.5,0.7,0.07633618651094123,0.542191453935998,0.4658552674250566
0.5,0.7,0.09224982771724251,0.5550304068049922,0.46278057908774967
0.5,0.7,0.07430805186973312,0.541137239201904,0.4668291873321709
0.5,0.7,0.08626461374072045,0.5393398508992829,0.4530752371585624
0.5,0.7,0.05146547233253243,0.5015427505115408,0.45007727817900833
0.5,0.7,0.04013338606442161,0.5046710415641406,0.46453765549971904
0.5,0.7,0.07030338949190132,0.5242132655161853,0.4539098760242839
0.5,0.7,0.021336963983913968,0.4771496056328797,0.45581264164896573
0.5,0.7,0.06591710955901213,0.5228184076864469,0.4569012981274348
0.5,0.7,0.1032705970945418,0.5465933953524453,0.4433227982579036
0.5,0.8,0.07453356968939974,0.5376225289526065,0.46308895926320687
0.5,0.8,-0.034702528245645896,0.47507155628356545,0.5097740845292114
0.5,0.8,0.0951145064051384,0.5596836771582474,0.46456917075310905
0.5,0.8,0.0284996574729891,0.5044765141418387,0.4759768566688497
0.5,0.8,0.12480107845415503,0.5651352859575989,0.4403342075034438
0.5,0.8,0.05600177866668637,0.521206468451994,0.46520468978530743
0.5,0.8,7.932394855637792e-05,0.49464919162956505,0.49456986768100875
0.5,0.8,0.008365271918139537,0.497082182358259,0.48871691044011956
0.5,0.8,0.02835280635295861,0.507743631464244,0.4793908251112854
0.5,0.8,-0.01602021827616924,0.4659470966053113,0.48196731488148054
0.5,0.9,0.1251784055991806,0.551708103437622,0.4265296978384414
