theta,epsilon,delta_v,Value_High,Value_Low
0.25,0.0,0.6713839734790937,0.9999998786021536,0.3286159051230598
0.25,0.0,0.6550017876809568,0.9999998448173946,0.3449980571364377
0.25,0.0,0.6636665952953801,0.9999998677019084,0.33633327240652855
0.25,0.0,0.6671338538705602,0.9999999132682373,0.33286605939767716
0.25,0.0,0.6542754167506121,0.9999998267502499,0.34572440999963805
0.25,0.0,0.6719684375757703,0.9999998880168477,0.3280314504410773
0.25,0.0,0.6736640309164399,0.9999998723470626,0.32633584143062255
0.25,0.0,0.682182644864997,0.9999998822868312,0.3178172374218342
0.25,0.0,0.6625147316852917,0.9999998323869927,0.3374851007017009
0.25,0.0,0.6573867039573311,0.9999998097514308,0.3426131057940996
0.25,0.1,0.5972178568480261,0.9231603435471366,0.3259424866991106
0.25,0.1,0.5639301930755799,0.9157430090444098,0.35181281596882985
0.25,0.1,0.5940081952789068,0.9242925288121364,0.3302843335332295
0.25,0.1,0.5628290864881219,0.927471205561555,0.36464211907343314
0.25,0.1,0.5722171649254906,0.9078389954422235,0.3356218305167331
0.25,0.1,0.567503960266757,0.9114174366278176,0.3439134763610606
0.25,0.1,0.57728491350553,0.9190444710096753,0.3417595575041452
0.25,0.1,0.5605631947228104,0.9047586167891167,0.3441954220663063
0.25,0.1,0.5651894659279794,0.9104133867139279,0.34522392078594855
0.25,0.1,0.5336193974941126,0.8740066217351334,0.34038722424102086
0.25,0.2,0.5070119665132128,0.8612647732241101,0.35425280671089715
0.25,0.2,0.47124141269091196,0.8400484591195746,0.3688070464286627
0.25,0.2,0.5167462330335926,0.862869434961961,0.34612320192836826
0.25,0.2,0.48681792343117114,0.8416351515912257,0.35481722816005473
0.25,0.2,0.49098503572166324,0.8399154571801639,0.3489304214585009
0.25,0.2,0.5169154656031694,0.8679076743438219,0.3509922087406526
0.25,0.2,0.5012483556132041,0.8463683941753346,0.34512003856213047
0.25,0.2,0.5017756891776411,0.8564450199639972,0.3546693307863562
0.25,0.2,0.5197110026150634,0.8603133189308402,0.3406023163157767
0.25,0.2,0.5269923462310655,0.8671045474106502,0.34011220117958496
0.25,0.3,0.45976792205850747,0.8146228699947793,0.3548549479362716
0.25,0.3,0.4365848637384549,0.8024557243280899,0.3658708605896348
0.25,0.3,0.4383909804325265,0.8100536211420384,0.3716626407095119
0.25,0.3,0.42465716223805194,0.7942620992956221,0.36960493705756997
0.25,0.3,0.452806468749778,0.8139160386398159,0.36110956989003773
0.25,0.3,0.4951377369304508,0.845463661638835,0.35032592470838425
0.25,0.3,0.4485922757542963,0.8073577559494564,0.3587654801951601
0.25,0.3,0.4826537017120273,0.8400209401404324,0.3573672384284052
0.25,0.3,0.4196621976328001,0.7934504937849858,0.37378829615218573
0.25,0.3,0.45849853877834773,0.8233950509641218,0.3648965121857744
0.25,0.4,0.4211456805868346,0.7845301876860171,0.3633845070991824
0.25,0.4,0.42018977668159185,0.7737314254442437,0.35354164876265165
0.25,0.4,0.3995908192503203,0.7691968813010441,0.3696060620507238
0.25,0.4,0.4227280575414919,0.7772971987995931,0.35456914125810135
0.25,0.4,0.400143911640005,0.7704545474114701,0.37031063577146495
0.25,0.4,0.39872131975726405,0.7603884454670518,0.36166712570978765
0.25,0.4,0.39870800135280093,0.7732491281494407,0.3745411267966399
0.25,0.4,0.44337096550143174,0.818409973153633,0.37503900765220144
0.25,0.4,0.4489996966878096,0.8034707364829903,0.3544710397951807
0.25,0.4,0.44060394272808734,0.7955230886504252,0.3549191459223378
0.25,0.5,0.3896854530374321,0.7632679436047348,0.37358249056730275
0.25,0.5,0.3965278384064327,0.770083489900053,0.37355565149362036
0.25,0.5,0.3833066744446187,0.7589010453178857,0.37559437087326686
0.25,0.5,0.36207088319391006,0.7414662314497142,0.3793953482558041
0.25,0.5,0.3964190627441646,0.7635216728425378,0.3671026100983732
0.25,0.5,0.3534215428218155,0.7404221548737173,0.38700061205190167
0.25,0.5,0.31678308409654704,0.712366896262237,0.39558381216569005
0.25,0.5,0.39761126215760123,0.7727716497260374,0.3751603875684362
0.25,0.5,0.38113517106676154,0.7630854075685767,0.381950236501815
0.25,0.5,0.4167075930958412,0.7778292999347101,0.36112170683886896
0.25,0.6,0.3397852591666873,0.7291658958704784,0.3893806367037911
0.25,0.6,0.363698012450968,0.7329575570397562,0.3692595445887881
0.25,0.6,0.35836353300199525,0.7546094027797752,0.3962458697777798
0.25,0.6,0.354998638459696,0.7461396313826234,0.39114099292292737
0.25,0.6,0.32411306250831584,0.7186960623894504,0.3945829998811346
0.25,0.6,0.34905484986606594,0.7299461669426619,0.38089131707659585
0.25,0.6,0.3404567366641594,0.7396097941617427,0.39915305749758334
0.25,0.6,0.3508732568555871,0.7423806771855985,0.3915074203300113
0.25,0.6,0.3087570032133071,0.7110542002361252,0.40229719702281797
0.25,0.6,0.35850640493445757,0.751241445494985,0.39273504056052744
0.25,0.7,0.3499323496385418,0.7475851391140813,0.39765278947553967
0.25,0.7,0.36198563127797895,0.7598212419317784,0.39783561065379947
0.25,0.7,0.31065637871807394,0.7210164075748615,0.41036002885678746
0.25,0.7,0.28109189047012184,0.6916609695314652,0.4105690790613435
0.25,0.7,0.35736536890227555,0.7473314233455732,0.38996605444329774
0.25,0.7,0.3061715775150923,0.7131057866855148,0.4069342091704226
0.25,0.7,0.3148079059174809,0.7146372660509174,0.3998293601334364
0.25,0.7,0.3433001942637615,0.7380541926772988,0.39475399841353725
0.25,0.7,0.3122040166380161,0.7151297846907039,0.40292576805268765
0.25,0.7,0.314286618541553,0.7132016159186431,0.39891499737708996
0.25,0.8,0.2704685996541499,0.6901502717100904,0.4196816720559407
0.25,0.8,0.3019512042884341,0.7298562752071056,0.42790507091867147
0.25,0.8,0.3261310793141706,0.7249719443411955,0.3988408650270249
0.25,0.8,0.32199852121762257,0.7433123291635536,0.42131380794593115
0.25,0.8,0.2813217945291862,0.6928954749419048,0.41157368041271847
0.25,0.8,0.3042320797426507,0.7203627389692719,0.41613065922662124
0.25,0.8,0.3014216517280821,0.7197311138920759,0.41830946216399384
0.25,0.8,0.31688375229536553,0.7283029191598176,0.41141916686445223
0.25,0.8,0.3213909132812139,0.7318685690981735,0.4104776558169594
0.25,0.8,0.3067826863645208,0.7353081649158244,0.42852547855130363
0.25,0.9,0.29094180194863617,0.7194753381691704,0.42853353622053425
0.25,0.9,0.2271416128251108,0.6676703980287758,0.4405287852036651
0.25,0.9,0.24362110816305516,0.6735867677623278,0.4299656595992724
0.25,0.9,0.26275195614499275,0.6943306589302245,0.43157870278523175
0.25,0.9,0.2796771143874223,0.7109242117160101,0.43124709732858757
0.25,0.9,0.25841962811204466,0.6930610230716554,0.43464139495961085
0.25,0.9,0.33773875713267115,0.7587033785402,0.42096462140752877
0.25,0.9,0.2573696837476655,0.6882176149551346,0.4308479312074689
0.25,0.9,0.2505136996935439,0.6896251672926321,0.43911146759908815
0.25,0.9,0.2826114304943637,0.7097656449007438,0.4271542144063802
