theta,epsilon,delta_v,Value_High,Value_Low
0.25,0.1,0.3107855656255277,0.7011552389176099,0.39036967329208216
0.25,0.2,0.22364907345694296,0.6309594976470743,0.4073104241901313
0.25,0.3,0.1716696374794652,0.5838282713709895,0.41215863389152424
0.25,0.4,0.1643172442041185,0.5630388545775301,0.3987216103734116
0.25,0.5,0.14026713052614137,0.5601625539028341,0.4198954233766927
0.25,0.6,0.11458660362974168,0.5314178319878463,0.4168312283581046
0.25,0.7,0.1313152115202924,0.5449177477920326,0.41360253627174026
0.25,0.8,0.1332720842491559,0.5461730589339435,0.4129009746847875
0.25,0.9,0.09573963423225787,0.5190801374507664,0.4233405032185085
0.25,1.0,0.12169640576173894,0.5432525591774782,0.4215561534157392
0.5,0.1,0.43425791654894574,0.7616060900916312,0.3273481735426854
0.5,0.2,0.3205601041297002,0.6661579696365786,0.34559786550687854
0.5,0.3,0.2845952792874459,0.6470439289209352,0.3624486496334894
0.5,0.4,0.2571053766336698,0.618815909386765,0.3617105327530953
0.5,0.5,0.24952783112323867,0.6225334133821125,0.3730055822588738
0.5,0.6,0.20825798759585998,0.5889263069729678,0.3806683193771079
0.5,0.7,0.1873817730899755,0.5724720271061428,0.38509025401616725
0.5,0.8,0.1553057033876823,0.5540605025347143,0.39875479914703194
0.5,0.9,0.16508005748261695,0.559051462686416,0.39397140520379914
0.5,1.0,0.13620228026258002,0.5314500017951864,0.39524772153260634
1.0,0.1,0.6101512862296753,0.8597323942459132,0.24958110801623787
1.0,0.2,0.5260044594000326,0.8027819888973262,0.27677752949729356
1.0,0.3,0.43911628947624737,0.739524120782005,0.30040783130575777
1.0,0.4,0.37660640295142894,0.6947005334509907,0.31809413049956176
1.0,0.5,0.3079881923716924,0.6480318864263959,0.3400436940547035
1.0,0.6,0.32104738459523985,0.658310975546299,0.3372635909510592
1.0,0.7,0.3003257803324822,0.6482248828216549,0.3478991024891728
1.0,0.8,0.263406648089102,0.6254633996825569,0.36205675159345496
1.0,0.9,0.24747684864590774,0.6025533236505078,0.35507647500460016
1.0,1.0,0.23815447048160948,0.6020319166631383,0.36387744618152884
2.0,0.1,0.7564249008973862,0.9202384735624808,0.16381357266509453
2.0,0.2,0.6556794019930836,0.8643487333888924,0.20866933139580893
2.0,0.3,0.5617166179270107,0.8078418118925039,0.24612519396549343
2.0,0.4,0.5004508845141789,0.7797765422666165,0.2793256577524378
2.0,0.5,0.46224650497149,0.7549416647095564,0.29269515973806637
2.0,0.6,0.41903794297280383,0.7340713132546427,0.315033370281839
2.0,0.7,0.36650239544338364,0.7067081925438244,0.34020579710044085
2.0,0.8,0.3263025152321818,0.6802578755362697,0.3539553603040879
2.0,0.9,0.2962715978648826,0.6682072231748,0.3719356253099174
2.0,1.0,0.28688856651801237,0.6652997235643089,0.3784111570462965
4.0,0.1,0.8331337843957742,0.9518024394122927,0.11866865501651835
4.0,0.2,0.7434328772455371,0.9074314997231753,0.16399862247763813
4.0,0.3,0.674629445331418,0.8840928087231619,0.20946336339174393
4.0,0.4,0.6281729360978077,0.8722891609046177,0.24411622480681006
4.0,0.5,0.5609588027562918,0.8405062028094322,0.2795474000531404
4.0,0.6,0.5061454581394972,0.8136675532865258,0.30752209514702855
4.0,0.7,0.45498531026099354,0.786970799094574,0.33198548883358053
4.0,0.8,0.4355331578462791,0.7819182127418047,0.34638505489552557
4.0,0.9,0.39474380689418587,0.7656081895181543,0.37086438262396837
4.0,1.0,0.36930341191857774,0.7614484866472551,0.3921450747286773
