ratio,theta_post,DeltaV_post,Value_High_post,Value_Low_post
1.0,0.1,-0.4356965024472151,0.05676796134269881,0.49246446378991476
1.0,0.2,-0.3312007012497444,0.14271243204515816,0.47391313329490187
1.0,0.3,-0.2997904894145399,0.1528256844607955,0.45261617387533454
1.0,0.4,-0.25504130083970006,0.1861678707849811,0.4412091716246802
1.0,0.5,-0.22222406492181793,0.20508804369364483,0.4273121086154624
1.0,0.6,-0.17893396898013203,0.22564975825345474,0.40458372723358615
1.0,0.7,-0.13601500403647687,0.2565922614118786,0.39260726544835534
1.0,0.8,-0.09006021066617526,0.28489619834790775,0.3749564090140823
1.0,0.9,-0.026205472043882842,0.3188257545139735,0.34503122655785723
1.0,1.0,0.0700091890413581,0.3698177853896022,0.2998085963482433
1.16,0.1,-0.14813821811696049,0.30964229301425045,0.4577805111312117
1.16,0.2,-0.23767749909685307,0.22647497580182796,0.46415247489868067
1.16,0.3,-0.18156107211996741,0.25003387122326975,0.4315949433432371
1.16,0.4,-0.10158999339141538,0.296836018753524,0.39842601214493883
1.16,0.5,-0.0784052309020391,0.3099753972252055,0.3883806281272447
1.16,0.6,-0.045875097052084764,0.3261116006774001,0.37198669772948356
1.16,0.7,0.10570115794317497,0.4154776382151161,0.30977648027194177
1.16,0.8,0.12423476986633965,0.43165986652945326,0.3074250966631136
1.16,0.9,0.16635928818095824,0.4468364659979757,0.28047717781701836
1.16,1.0,0.29089149338423403,0.5167375013574399,0.2258460079732055
1.32,0.1,-0.07484838930550297,0.37685669942361544,0.45170508872911985
1.32,0.2,-0.14170540699992037,0.30937342278366925,0.4510788297835902
1.32,0.3,-0.06602182152229295,0.3406725162028896,0.4066943377251825
1.32,0.4,0.08607276498969148,0.44274814281125185,0.35667537782155995
1.32,0.5,0.17940685005665968,0.49674682067283216,0.3173399706161711
1.32,0.6,0.23678500017048618,0.5218481335146739,0.28506313334418826
1.32,0.7,0.28282726942892383,0.5500222352209642,0.26719496579203983
1.32,0.8,0.3198154641827449,0.5739433280832604,0.25412786390051695
1.32,0.9,0.37235542705938207,0.5970550108391478,0.22469958377976573
1.32,1.0,0.42510033123100827,0.6270693364458847,0.2019690052148742
1.47,0.1,0.005614110446450882,0.4523816334332262,0.44676752298677497
1.47,0.2,-0.05459472896141024,0.3880597187476835,0.4426544477090936
1.47,0.3,0.08373889457685003,0.4614093796602821,0.37767048508343265
1.47,0.4,0.298803370986451,0.6179876058909229,0.31918423490447184
1.47,0.5,0.37771432507466385,0.6533943219906587,0.27567999691599276
1.47,0.6,0.4117114232941574,0.6642457882410391,0.25253436494688125
1.47,0.7,0.4281840375097069,0.6679323191666815,0.23974828165697556
1.47,0.8,0.4515459409121696,0.6829705164236747,0.23142457551150478
1.47,0.9,0.5045284644207798,0.7068094867397297,0.20228102231895065
1.47,1.0,0.514305066098892,0.709263670688082,0.1949586045891892
1.63,0.1,0.08851495729093825,0.5366837822254529,0.44816882493451465
1.63,0.2,0.18161917495621796,0.5844858125566362,0.4028666376004184
1.63,0.3,0.34061245597931533,0.6822166088310424,0.34160415285172724
1.63,0.4,0.4514515507636407,0.743540114038813,0.2920885632751727
1.63,0.5,0.5197386554974539,0.7786313286212463,0.25889267312379527
1.63,0.6,0.5470295896580685,0.7811774186178668,0.23414782895979747
1.63,0.7,0.5597366229561872,0.7825771426976895,0.22284051974150035
1.63,0.8,0.5703502931879503,0.7821321988375542,0.21178190564960303
1.63,0.9,0.6026626740293181,0.7947943312367387,0.19213165720742012
1.63,1.0,0.6048969171936865,0.7925392165740933,0.1876422993804047
1.79,0.1,0.368571537991239,0.7913196789740762,0.42274814098283736
1.79,0.2,0.4213976787129355,0.8017873112697573,0.3803896325568205
1.79,0.3,0.5086766563856605,0.8278062208723042,0.31912956448664165
1.79,0.4,0.5535896105658016,0.8383554263819932,0.28476581581618915
1.79,0.5,0.6149883704121204,0.8695375171239879,0.2545491467118699
1.79,0.6,0.6460362614074238,0.8720502550188199,0.22601399361139593
1.79,0.7,0.652358200999458,0.8686203678184952,0.21626216681903998
1.79,0.8,0.653820977783603,0.8645705501050851,0.21074957232148125
1.79,0.9,0.6795782876095727,0.8717099138542094,0.19213162624463856
1.79,1.0,0.6914169155538289,0.8754270175964123,0.18401010204258486
1.95,0.1,0.47120518979741155,0.8914927018143728,0.4202875120169622
1.95,0.2,0.518325203314129,0.8937579358999465,0.3754327325858185
1.95,0.3,0.6130547938134668,0.9287838069153064,0.31572901310184137
1.95,0.4,0.6431759907611382,0.9261169093061027,0.28294091854496267
1.95,0.5,0.6917122690401674,0.9462614157520371,0.25454914671186984
1.95,0.6,0.7229818721120138,0.9489958657233946,0.22601399361138402
1.95,0.7,0.7298166972981476,0.9459775643964964,0.21616086709834878
1.95,0.8,0.742941209440913,0.950395589468916,0.20745438002800642
1.95,0.9,0.7564939093509788,0.9486255138128047,0.1921316044618281
1.95,1.0,0.7712191625152457,0.9541708530378277,0.18295169052258548
2.11,0.1,0.5532863434234021,0.9734836833270609,0.42019733990365893
2.11,0.2,0.6127415621923248,0.9870870312132213,0.37434546902089744
2.11,0.3,0.6883524234102792,1.0040814366712951,0.3157290132610157
2.11,0.4,0.718266561572187,1.0012074801242692,0.2829409185520849
2.11,0.5,0.7685607267404845,1.0231679698917022,0.2546072431512174
2.11,0.6,0.7999274828658273,1.0259414764772101,0.22601399361137905
2.11,0.7,0.8066427046284577,1.0227963157856843,0.2161536111572283
2.11,0.8,0.8235161007634274,1.0289704807914324,0.2054543800280062
