theta,delta_v_gamma_min,delta_v_gamma_max,widening,condition,gamma_min,gamma_max
0.0,-0.49899999999999994,-0.49899999999999994,0.0,200%,0.0,1.0
0.05,-0.3688548106943693,-0.4461024924459359,-0.0772476817515666,200%,0.0,1.0
0.1,-0.052689673956584436,-0.30414659217543283,-0.2514569182188484,200%,0.0,1.0
0.15000000000000002,0.27534659460818145,-0.06917155196879089,-0.34451814657697233,200%,0.0,1.0
0.2,0.44293538429636137,0.24750987061817656,-0.1954255136781848,200%,0.0,1.0
0.25,0.48846516499817216,0.5012332128646697,0.012768047866497545,200%,0.0,1.0
0.30000000000000004,0.4991855456863795,0.6765567849543428,0.17737123926796328,200%,0.0,1.0
0.35000000000000003,0.49999471909483273,0.7469546252654816,0.2469599061706489,200%,0.0,1.0
0.4,0.5000000269885282,0.7878488607391595,0.2878488337506313,200%,0.0,1.0
0.45,0.5000006980499608,0.8145585874681004,0.31455788941813956,200%,0.0,1.0
0.5,0.5000091124408478,0.8367386174234165,0.3367295049825687,200%,0.0,1.0
0.55,0.5000777973431384,0.85681202119498,0.3567342238518416,200%,0.0,1.0
0.6000000000000001,0.5004997012777405,0.8752130538094441,0.3747133525317037,200%,0.0,1.0
0.65,0.5029154864812617,0.8965053050546551,0.39358981857339337,200%,0.0,1.0
0.7000000000000001,0.5109650024711435,0.9123980516343853,0.40143304916324174,200%,0.0,1.0
0.75,0.5361020216373721,0.9295426725129643,0.3934406508755922,200%,0.0,1.0
0.8,0.5896719358144008,0.9436333590425331,0.3539614232281323,200%,0.0,1.0
0.8500000000000001,0.6883637504302078,0.959841803322362,0.2714780528921542,200%,0.0,1.0
0.9,0.8151297299494911,0.9713628442699495,0.1562331143204584,200%,0.0,1.0
0.9500000000000001,0.9400724911999999,0.9866776948230018,0.04660520362300191,200%,0.0,1.0
1.0,0.9989999999999999,0.9989999999999999,0.0,200%,0.0,1.0
