theta,gamma,delta_v
0.0,0.0,-0.5
0.0,0.05,-0.5
0.0,0.1,-0.5
0.0,0.15000000000000002,-0.5
0.0,0.2,-0.5
0.0,0.25,-0.5
0.0,0.30000000000000004,-0.5
0.0,0.35000000000000003,-0.5
0.0,0.4,-0.5
0.0,0.45,-0.5
0.0,0.5,-0.5
0.0,0.55,-0.5
0.0,0.6000000000000001,-0.5
0.0,0.65,-0.5
0.0,0.7000000000000001,-0.5
0.0,0.75,-0.5
0.0,0.8,-0.5
0.0,0.8500000000000001,-0.5
0.0,0.9,-0.5
0.0,0.9500000000000001,-0.5
0.0,1.0,-0.5
0.05,0.0,-0.4327108064624857
0.05,0.05,-0.43770505291546763
0.05,0.1,-0.44219764640597603
0.05,0.15000000000000002,-0.4463644144699598
0.05,0.2,-0.4500295037037055
0.05,0.25,-0.4533972667900419
0.05,0.30000000000000004,-0.4563942583863736
0.05,0.35000000000000003,-0.45926480105210266
0.05,0.4,-0.46173578892000505
0.05,0.45,-0.46397964985063495
0.05,0.5,-0.46602022311556784
0.05,0.55,-0.467878667435529
0.05,0.6000000000000001,-0.46957377274410933
0.05,0.65,-0.47112223538769477
0.05,0.7000000000000001,-0.4725389009906893
0.05,0.75,-0.4738369787427949
0.05,0.8,-0.47502823044268966
0.05,0.8500000000000001,-0.4761231372550433
0.05,0.9,-0.4771310468009581
0.05,0.9500000000000001,-0.47806030290158896
0.05,1.0,-0.4789183600271779
0.1,0.0,-0.27553201553724455
0.1,0.05,-0.2994722786652437
0.1,0.1,-0.3198083153500526
0.1,0.15000000000000002,-0.3375469822870785
0.1,0.2,-0.35359941115137883
0.1,0.25,-0.3671041704209457
0.1,0.30000000000000004,-0.3784420073683015
0.1,0.35000000000000003,-0.38806531950984746
0.1,0.4,-0.3970321745540557
0.1,0.45,-0.4042774134310319
0.1,0.5,-0.4106079136309696
0.1,0.55,-0.4158234366227075
0.1,0.6000000000000001,-0.42039318033661843
0.1,0.65,-0.42441559669942386
0.1,0.7000000000000001,-0.4279723836976852
0.1,0.75,-0.4311315290191936
0.1,0.8,-0.43406168999388195
0.1,0.8500000000000001,-0.4365912145731551
0.1,0.9,-0.43886719760709336
0.1,0.9500000000000001,-0.4409232347220435
0.1,1.0,-0.4427877107474291
0.15000000000000002,0.0,-0.07855640496089474
0.15000000000000002,0.05,-0.1198764058397124
0.15000000000000002,0.1,-0.16509304516373885
0.15000000000000002,0.15000000000000002,-0.2068383569924536
0.15000000000000002,0.2,-0.24067240049617178
0.15000000000000002,0.25,-0.2670639685619375
0.15000000000000002,0.30000000000000004,-0.28897551293456164
0.15000000000000002,0.35000000000000003,-0.30642606745969786
0.15000000000000002,0.4,-0.32116516045617566
0.15000000000000002,0.45,-0.332258823499763
0.15000000000000002,0.5,-0.34134657605751223
0.15000000000000002,0.55,-0.3488321892226854
0.15000000000000002,0.6000000000000001,-0.35652720432939955
0.15000000000000002,0.65,-0.36305132093041703
0.15000000000000002,0.7000000000000001,-0.36821462129730215
0.15000000000000002,0.75,-0.37339291359265536
0.15000000000000002,0.8,-0.37798413443670187
0.15000000000000002,0.8500000000000001,-0.38174267163840875
0.15000000000000002,0.9,-0.38480591823535865
0.15000000000000002,0.9500000000000001,-0.38801953075622214
0.15000000000000002,1.0,-0.39085746740136473
0.2,0.0,0.1114152083887738
0.2,0.05,0.07963684680266478
0.2,0.1,0.020724207911673044
0.2,0.15000000000000002,-0.033940226733362146
0.2,0.2,-0.07588896839496093
0.2,0.25,-0.11769086859047188
0.2,0.30000000000000004,-0.14877033588819205
0.2,0.35000000000000003,-0.17389888646449375
0.2,0.4,-0.19248509210341222
0.2,0.45,-0.2111335406288662
0.2,0.5,-0.22821834828015414
0.2,0.55,-0.23947014939946598
0.2,0.6000000000000001,-0.2499752736073489
0.2,0.65,-0.2601978991824817
0.2,0.7000000000000001,-0.2676311742466907
0.2,0.75,-0.27482188607112357
0.2,0.8,-0.2805485458719671
0.2,0.8500000000000001,-0.28595301381166177
0.2,0.9,-0.2899782361100186
0.2,0.9500000000000001,-0.29275914220673555
0.2,1.0,-0.2979281791899451
0.25,0.0,0.21171088823404594
0.25,0.05,0.20649596949720211
0.25,0.1,0.17279686579924605
0.25,0.15000000000000002,0.13372087127235333
0.25,0.2,0.0931258007214242
0.25,0.25,0.057633329632978625
0.25,0.30000000000000004,0.024879155050177675
0.25,0.35000000000000003,-0.0009531150650712833
0.25,0.4,-0.02602628041918121
0.25,0.45,-0.04930881978912159
0.25,0.5,-0.0708810404274671
0.25,0.55,-0.08647793130669203
0.25,0.6000000000000001,-0.10189301322195274
0.25,0.65,-0.11362635837080988
0.25,0.7000000000000001,-0.12807573983550719
0.25,0.75,-0.1384154559795964
0.25,0.8,-0.14412620233724135
0.25,0.8500000000000001,-0.1529408899018601
0.25,0.9,-0.16040571010989635
0.25,0.9500000000000001,-0.164209246064848
0.25,1.0,-0.17266302002083692
0.30000000000000004,0.0,0.24547005262880411
0.30000000000000004,0.05,0.26075339310073736
0.30000000000000004,0.1,0.26314824306600226
0.30000000000000004,0.15000000000000002,0.25565404096351335
0.30000000000000004,0.2,0.23924172906425825
0.30000000000000004,0.25,0.21447593712830443
0.30000000000000004,0.30000000000000004,0.1900005310997477
0.30000000000000004,0.35000000000000003,0.16692641600865105
0.30000000000000004,0.4,0.14155521693664305
0.30000000000000004,0.45,0.12304544687858479
0.30000000000000004,0.5,0.10037630457563225
0.30000000000000004,0.55,0.08263577496437088
0.30000000000000004,0.6000000000000001,0.06678495479953073
0.30000000000000004,0.65,0.047045639181629226
0.30000000000000004,0.7000000000000001,0.03026296086831388
0.30000000000000004,0.75,0.019662901190048036
