theta,gamma,delta_v
0.0,0.0,-0.5989999999999998
0.0,0.1111111111111111,-0.5989999999999998
0.0,0.2222222222222222,-0.5989999999999998
0.0,0.3333333333333333,-0.5989999999999998
0.0,0.4444444444444444,-0.5989999999999998
0.0,0.5555555555555556,-0.5989999999999998
0.0,0.6666666666666666,-0.5989999999999998
0.0,0.7777777777777777,-0.5989999999999998
0.0,0.8888888888888888,-0.5989999999999998
0.0,1.0,-0.5989999999999998
0.10256410256410256,0.0,-0.3576213685090621
0.10256410256410256,0.1111111111111111,-0.42682870488687585
0.10256410256410256,0.2222222222222222,-0.4586805509962477
0.10256410256410256,0.3333333333333333,-0.4556629335526211
0.10256410256410256,0.4444444444444444,-0.48114112479980997
0.10256410256410256,0.5555555555555556,-0.4818664756145551
0.10256410256410256,0.6666666666666666,-0.5337447977319857
0.10256410256410256,0.7777777777777777,-0.5099151251785463
0.10256410256410256,0.8888888888888888,-0.539843220259021
0.10256410256410256,1.0,-0.5202869555494427
0.20512820512820512,0.0,0.022718662826626157
0.20512820512820512,0.1111111111111111,-0.10368058164171268
0.20512820512820512,0.2222222222222222,-0.22769879044583252
0.20512820512820512,0.3333333333333333,-0.26646184974572323
0.20512820512820512,0.4444444444444444,-0.338233000927285
0.20512820512820512,0.5555555555555556,-0.3204766947669389
0.20512820512820512,0.6666666666666666,-0.43321497540422077
0.20512820512820512,0.7777777777777777,-0.41357358763589563
0.20512820512820512,0.8888888888888888,-0.42577525520748605
0.20512820512820512,1.0,-0.42066930102902056
0.3076923076923077,0.0,0.26292150357855315
0.3076923076923077,0.1111111111111111,0.17734817910598188
0.3076923076923077,0.2222222222222222,0.031214216198623856
0.3076923076923077,0.3333333333333333,-0.09947783236404661
0.3076923076923077,0.4444444444444444,-0.0960975939757287
0.3076923076923077,0.5555555555555556,-0.13746702830970525
0.3076923076923077,0.6666666666666666,-0.1429941027115566
0.3076923076923077,0.7777777777777777,-0.23532656544604225
0.3076923076923077,0.8888888888888888,-0.2937303689202365
0.3076923076923077,1.0,-0.23450900217151455
0.41025641025641024,0.0,0.2961402487228755
0.41025641025641024,0.1111111111111111,0.2932582055907468
0.41025641025641024,0.2222222222222222,0.2025723478268303
0.41025641025641024,0.3333333333333333,0.17870741345012686
0.41025641025641024,0.4444444444444444,0.14023394401111922
0.41025641025641024,0.5555555555555556,0.057253268692534776
0.41025641025641024,0.6666666666666666,0.024953103212183636
0.41025641025641024,0.7777777777777777,0.033502714905120246
0.41025641025641024,0.8888888888888888,0.03237096830719832
0.41025641025641024,1.0,-0.08905621702495187
0.5128205128205128,0.0,0.2995946280340769
0.5128205128205128,0.1111111111111111,0.3526605145163164
0.5128205128205128,0.2222222222222222,0.3593930695898562
0.5128205128205128,0.3333333333333333,0.31682420751908336
0.5128205128205128,0.4444444444444444,0.27057874331508064
0.5128205128205128,0.5555555555555556,0.24583945206268648
0.5128205128205128,0.6666666666666666,0.23987888302444493
